CustomerID,Country,State,City,Zip Code,Phone Number,Lat Long,Gender,Senior Citizen,Age,Birthday,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Number of Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn Value,CLTV,Churn Reason,Name,Churn Score
0334-GDDSO,United States,California,Ocotillo,92259,555-197-8745,"32.698964, -115.886656",Male,Yes,102,11/18,No,No,3,Yes,Yes,4,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,81.35,233.7,1,2818,Service dissatisfaction,Kim Gebhardt,80
5564-NEMQO,United States,California,Thermal,92274,555-707-2890,"33.53604, -116.119222",Female,Yes,93,11/16,No,No,1,Yes,No,,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.3,75.3,1,4902,Network reliability,Wendell Craft,76
5956-VKDTT,United States,California,Moreno Valley,92557,555-420-5603,"33.970661, -117.255039",Female,Yes,64,8/12,Yes,No,5,Yes,Yes,4,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.35,334.8,1,5273,Product dissatisfaction,Vera Hanson,76
0257-ZESQC,United States,California,Perris,92571,555-690-8322,"33.828289, -117.201666",Female,Yes,71,6/22,Yes,No,27,Yes,No,,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.2,1929.35,1,4517,Lack of self-service on Website,Caterina White,66
2865-TCHJW,United States,California,Anaheim,92807,555-635-4720,"33.848733, -117.788357",Female,Yes,77,5/21,No,No,4,Yes,Yes,4,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,89.2,346.2,1,5808,Competitor had better devices,Diana Chevez,73
5192-EBGOV,United States,California,Brea,92823,555-549-8025,"33.924143, -117.79387",Female,Yes,102,4/18,No,No,1,Yes,Yes,2,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,85.7,85.7,1,4880,Competitor offered higher download speeds,Jay Beck,94
3445-HXXGF,United States,California,Sierra Madre,91024,555-127-8800,"34.168686, -118.057505",Male,Yes,79,7/19,Yes,No,58,No,No phone service,,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,45.3,2651.2,1,5444,Service dissatisfaction,Christopher Dell,86
3419-SNJJD,United States,California,Yorba Linda,92887,555-242-1767,"33.884073, -117.732197",Female,Yes,70,2/12,Yes,No,65,Yes,Yes,2,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),105.25,6786.4,1,4196,Competitor offered higher download speeds,Nell Goldstein,75
4554-YGZIH,United States,California,Summerland,93067,555-649-9997,"34.420998, -119.60137",Male,Yes,64,9/17,Yes,No,49,Yes,Yes,3,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),90.05,4547.25,1,5059,Competitor made better offer,Louise Greene,100
5099-BAILX,United States,California,Santa Barbara,93101,555-517-7005,"34.419203, -119.710008",Male,Yes,60,8/15,Yes,No,43,Yes,Yes,4,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),110.75,4687.9,1,2728,Competitor made better offer,Marcia Spiess,83
1626-ERCMM,United States,California,Camp Nelson,93208,555-731-9039,"36.057458, -118.591951",Male,Yes,77,6/19,Yes,No,20,Yes,Yes,2,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.55,1899.65,1,5604,Competitor had better devices,Willie Baldwin,80
5644-PDMZC,United States,California,Delano,93215,555-348-5422,"35.772244, -119.209689",Female,Yes,103,6/2,No,No,2,Yes,Yes,2,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,89.5,161.5,1,2065,Competitor offered higher download speeds,Freda Carson,99
5244-IRFIH,United States,California,Los Alamos,93440,555-111-8513,"34.758699, -120.275839",Male,Yes,92,1/20,Yes,No,33,Yes,Yes,4,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.5,3105.55,1,4333,Competitor made better offer,Robert Ortiz,81
2684-EIWEO,United States,California,Oceano,93445,555-193-9262,"35.059695, -120.604741",Female,Yes,93,2/18,No,No,30,Yes,Yes,1,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Credit card (automatic),91.7,2758.15,1,2482,Competitor made better offer,Elizabeth Kelly,95
6683-VLCTZ,United States,California,Johannesburg,93528,555-295-8073,"35.363339, -117.637641",Male,Yes,96,7/16,No,No,20,Yes,Yes,3,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.55,1842.8,1,5444,Competitor offered more data,John Altman,86
3643-AHCFP,United States,California,Selma,93662,555-615-6145,"36.545322, -119.642281",Male,Yes,79,3/2,Yes,No,7,Yes,Yes,3,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),95.6,644.35,1,3265,Competitor made better offer,Mary Potter,73
9231-ZJYAM,United States,California,Squaw Valley,93675,555-544-9252,"36.719141, -119.202677",Female,Yes,90,3/6,No,No,4,Yes,No,,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,78.85,292.8,1,5301,Moved,Dennis Buck,94
0947-MUGVO,United States,California,Jolon,93928,555-682-9521,"35.930782, -121.189757",Male,Yes,67,5/9,Yes,No,20,Yes,No,,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,73.65,1463.5,1,5849,Competitor offered higher download speeds,Ilona Carney,94
0781-LKXBR,United States,California,San Francisco,94102,555-926-5612,"37.7795, -122.419233",Male,Yes,81,5/17,No,No,9,Yes,Yes,5,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,918.6,1,4038,Price too high,Arthur Smith,98
1907-UBQFC,United States,California,San Francisco,94108,555-521-6531,"37.791998, -122.408653",Male,Yes,63,8/26,No,No,10,Yes,No,,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,72.85,688.65,1,3189,Price too high,Mike Reed,71
7273-TEFQD,United States,California,La Puente,91746,555-543-3507,"34.038983, -117.991372",Male,Yes,83,5/18,No,No,3,No,No phone service,,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,41.15,132.2,1,2314,Long distance charges,Ella Chen,76
6513-EECDB,United States,California,San Francisco,94114,555-550-1241,"37.758085, -122.434801",Male,Yes,102,10/15,Yes,No,1,Yes,Yes,5,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.55,73.55,1,4369,Price too high,Deborah Paquette,67
7074-IEVOJ,United States,California,San Francisco,94130,555-245-2906,"37.820894, -122.369725",Female,Yes,97,9/14,No,No,3,Yes,Yes,3,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,79.4,205.05,1,3501,Product dissatisfaction,Janis Sanders,82
4750-ZRXIU,United States,California,Palo Alto,94304,555-785-3030,"37.386978, -122.177746",Female,Yes,105,6/27,No,No,4,Yes,Yes,2,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.6,360.1,1,2467,Lack of self-service on Website,Maxine Porch,81
7028-DVOIQ,United States,California,Birds Landing,94512,555-982-5622,"38.140719, -121.838298",Male,Yes,101,12/15,No,No,35,Yes,Yes,1,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.05,3395.8,1,2074,Don't know,Joy Smith,66
9889-TMAHG,United States,California,Fremont,94539,555-718-4484,"37.516791, -121.899117",Male,Yes,89,1/14,No,No,8,Yes,No,,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),100.3,832.35,1,5084,Competitor had better devices,Connie Jones,81
9369-XFEHK,United States,California,Pleasanton,94566,555-688-2852,"37.633361, -121.862395",Female,Yes,63,9/26,Yes,No,33,Yes,Yes,1,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),80.6,2656.5,1,3601,Competitor offered more data,Joyce Greer,85
1374-DMZUI,United States,California,San Ramon,94583,555-948-8920,"37.766556, -121.976784",Female,Yes,97,7/3,No,No,4,Yes,Yes,4,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,94.3,424.45,1,5419,Competitor made better offer,Dixie Demetriou,86
1989-PRJHP,United States,California,Pleasanton,94588,555-176-1861,"37.685052, -121.912061",Male,Yes,81,5/21,Yes,No,27,Yes,Yes,2,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.5,1893.95,1,2377,Competitor had better devices,Larry Macdowell,77
4822-RVYBB,United States,California,Berkeley,94704,555-304-6157,"37.871416, -122.246597",Male,Yes,88,1/3,No,No,8,Yes,Yes,5,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.6,819.4,1,5906,Competitor offered higher download speeds,Joy Epperson,75
4184-TJFAN,United States,California,Berkeley,94707,555-932-1399,"37.897753, -122.279391",Female,Yes,88,8/24,Yes,No,3,Yes,No,,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,88.3,273.75,1,4486,Competitor offered higher download speeds,Patsy Holland,65
4145-UQXUQ,United States,California,Berkeley,94710,555-598-3933,"37.872902, -122.303708",Female,Yes,85,9/13,No,No,8,Yes,No,,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,92.1,729.95,1,5662,Competitor offered more data,Henry Mick,99
1236-WFCDV,United States,California,Greenbrae,94904,555-160-6614,"37.946617, -122.563571",Male,Yes,72,6/6,No,No,14,Yes,No,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),90.45,1266.1,1,4777,Competitor offered more data,Luis Lee,96
4441-NIHPT,United States,California,Freedom,95019,555-312-4099,"36.936228, -121.785559",Female,Yes,101,10/21,No,No,13,Yes,No,,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,74.3,940.35,1,2995,Competitor had better devices,Robert Jones,84
8999-BOHSE,United States,California,Gilroy,95020,555-634-5530,"37.03889, -121.528955",Female,Yes,77,3/13,No,No,11,Yes,No,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),89.7,1047.7,1,2202,Competitor offered higher download speeds,Jenny Phelps,83
5020-ZSTTY,United States,California,El Cajon,92020,555-679-4933,"32.79697, -116.969082",Female,Yes,90,10/16,No,No,54,Yes,Yes,4,DSL,Yes,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer (automatic),82.45,4350.1,1,4149,Long distance charges,Carol Gosnell,81
7029-RPUAV,United States,California,Los Gatos,95030,555-780-2113,"37.222842, -121.988727",Male,Yes,88,12/18,Yes,No,17,Yes,Yes,2,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),100.45,1622.45,1,5508,Competitor offered more data,Maggie Coleman,73
8111-SLLHI,United States,California,San Jose,95128,555-369-9114,"37.316146, -121.936285",Male,Yes,82,10/18,Yes,No,39,Yes,Yes,3,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,105.65,4284.8,1,4687,Competitor offered higher download speeds,Geraldine Jimeson,69
5293-WXJAK,United States,California,San Jose,95135,555-389-5545,"37.28682, -121.723877",Female,Yes,92,2/24,Yes,No,11,Yes,Yes,4,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),104.05,1133.65,1,4553,Competitor offered more data,Anne Lewis,80
4086-YQSNZ,United States,California,Glencoe,95232,555-422-4901,"38.358464, -120.579304",Female,Yes,79,5/3,Yes,No,3,Yes,No,,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.4,224.05,1,3834,Attitude of service provider,Richard Lynch,65
5565-FILXA,United States,California,Yosemite National Park,95389,555-834-2632,"37.704267, -119.607001",Female,Yes,79,10/1,No,No,16,Yes,Yes,5,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.15,1529.2,1,5913,Don't know,Elmer Dubay,68
6818-WOBHJ,United States,California,Fulton,95439,555-714-6955,"38.493888, -122.777141",Female,Yes,94,12/4,Yes,No,68,Yes,Yes,3,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),89.6,6127.6,1,5651,Network reliability,Leona Ruiz,97
0623-IIHUG,United States,California,San Diego,92104,555-215-7016,"32.741499, -117.127409",Female,Yes,64,11/9,No,No,21,No,No phone service,,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,41.9,840.1,1,4778,Don't know,Robert Mckinley,80
9134-CEQMF,United States,California,Nice,95464,555-982-9139,"39.12334, -122.838198",Male,Yes,62,3/17,Yes,No,7,Yes,No,,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,89.5,676.7,1,3077,Network reliability,Marilyn Scott,83
9057-MSWCO,United States,California,San Diego,92108,555-913-3559,"32.774046, -117.142454",Male,Yes,101,5/14,Yes,No,27,No,No phone service,,DSL,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),30.75,805.1,1,2927,Poor expertise of phone support,Christopher Caldwell,98
8519-IMDHU,United States,California,Alderpoint,95511,555-727-2610,"40.166028, -123.584144",Male,Yes,92,5/2,Yes,No,15,Yes,Yes,2,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),85.6,1345.55,1,4981,Network reliability,Joseph Delgado,80
3372-KWFBM,United States,California,Bayside,95524,555-987-1146,"40.825486, -124.049485",Male,Yes,102,9/29,No,No,16,Yes,Yes,3,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,86.6,1281,1,2508,Network reliability,Flora Priest,85
7206-GZCDC,United States,California,Loleta,95551,555-813-1483,"40.665952, -124.240051",Female,Yes,103,3/22,No,No,1,Yes,No,,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.25,69.25,1,4371,Competitor offered higher download speeds,Marcella Opheim,69
3793-MMFUH,United States,California,Davis,95618,555-448-8133,"38.544002, -121.685559",Female,Yes,87,10/23,No,No,13,Yes,Yes,3,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.05,1290,1,2230,Competitor made better offer,Brian Williams,69
4895-TMWIR,United States,California,Indian Wells,92210,555-949-1376,"33.537646, -116.291089",Male,Yes,69,9/15,Yes,No,11,Yes,No,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,214.75,1,5888,Limited range of services,Elizabeth Stone,81
6567-HOOPW,United States,California,Folsom,95630,555-119-7501,"38.672638, -121.147403",Female,Yes,88,1/8,No,No,1,Yes,No,,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.2,79.2,1,4363,Competitor made better offer,Rick Days,73
8621-MNIHH,United States,California,Madison,95653,555-534-3927,"38.674276, -121.961866",Female,Yes,69,11/4,Yes,No,34,Yes,Yes,2,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,94.25,3217.55,1,3369,Competitor offered higher download speeds,Gregoria Benjamin,83
5419-CONWX,United States,California,Pleasant Grove,95668,555-358-8408,"38.833554, -121.498102",Female,Yes,89,8/20,No,No,4,Yes,No,,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.8,442.85,1,2268,Competitor offered more data,Elizabeth Carey,73
7024-OHCCK,United States,California,Sheridan,95681,555-987-8895,"38.984756, -121.345074",Female,Yes,93,1/15,No,No,2,Yes,Yes,5,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,93.85,170.85,1,4193,Don't know,John Robirds,67
5357-TZHPP,United States,California,Wheatland,95692,555-452-4526,"39.043387, -121.409837",Male,Yes,67,3/20,No,No,9,Yes,Yes,2,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),84.4,732.5,1,5745,Competitor offered higher download speeds,Gladys Ferguson,92
0506-LVNGN,United States,California,Rancho Cordova,95742,555-918-8499,"38.591134, -121.161585",Female,Yes,83,11/12,No,No,5,Yes,No,,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),75.55,349.65,1,4028,Competitor offered higher download speeds,James Westman,81
9809-IMGCQ,United States,California,Canyon Dam,95923,555-614-8142,"40.171312, -121.120605",Male,Yes,93,1/11,No,No,22,Yes,Yes,2,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,96.7,2082.95,1,4458,Competitor made better offer,James Flannery,91
3254-YRILK,United States,California,Dobbins,95935,555-312-8058,"39.381174, -121.21191",Male,Yes,68,4/17,No,No,19,Yes,Yes,4,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,88.2,1775.8,1,5683,Competitor had better devices,Joe Midkiff,98
0529-ONKER,United States,California,Forest Ranch,95942,555-748-8953,"40.077028, -121.494168",Male,Yes,63,5/5,No,No,15,Yes,Yes,2,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,75.65,1146.65,1,2099,Competitor offered higher download speeds,George August,76
5240-IJOQT,United States,California,Grass Valley,95949,555-241-6794,"39.099204, -121.137962",Male,Yes,85,11/14,No,No,1,Yes,Yes,3,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,74.7,1,3348,Competitor offered higher download speeds,Jeraldine Mines,73
2660-EMUBI,United States,California,Fort Jones,96032,555-186-7087,"41.5837, -122.935922",Male,Yes,95,4/3,No,No,10,Yes,Yes,1,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.35,898.35,1,5353,Attitude of support person,Doug Williams,97
9391-EOYLI,United States,California,Lewiston,96052,555-925-2050,"40.704293, -122.803899",Male,Yes,76,8/3,Yes,No,12,Yes,No,,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,80.45,950.2,1,5374,Competitor made better offer,Carolyn Davis,85
2761-OCIAX,United States,California,Palo Cedro,96073,555-981-5625,"40.582399, -122.195512",Male,Yes,84,12/15,No,No,2,Yes,No,,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,74.7,165.4,1,2803,Competitor made better offer,Marilyn Jones,91
3068-OMWZA,United States,California,Round Mountain,96084,555-141-4992,"40.923558, -122.059933",Male,Yes,64,6/9,No,No,1,Yes,Yes,4,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,88.8,88.8,1,3106,Competitor made better offer,Vincent Dennis,98
